nonebot_plugin_access_control-1.2.4-py3-none-any: py=48, meta=True, cmd=True, msg=False, regex=False, alconna=True, scheduler=True, httpx=False, aiohttp=False, requests=False, orm=True, localstore=False, htmlrender=False, onebot=True, permission=True
nonebot_plugin_acgnshow-0.3-py3-none-any: py=6, meta=True, cmd=True, msg=False, regex=False, alconna=True, scheduler=False, httpx=False, aiohttp=True, requests=True, orm=True, localstore=False, htmlrender=True, onebot=False, permission=False
nonebot_plugin_ai_groupmate-2.0.6-py3-none-any: py=27, meta=True, cmd=True, msg=True, regex=False, alconna=True, scheduler=True, httpx=True, aiohttp=False, requests=False, orm=True, localstore=True, htmlrender=False, onebot=False, permission=True
nonebot_plugin_ai_timetable-0.4.1-py3-none-any: py=7, meta=True, cmd=True, msg=False, regex=True, alconna=True, scheduler=True, httpx=True, aiohttp=False, requests=False, orm=True, localstore=False, htmlrender=True, onebot=False, permission=False
nonebot_plugin_aiochatllm-0.1.7-py3-none-any: py=9, meta=True, cmd=True, msg=True, regex=False, alconna=True, scheduler=True, httpx=True, aiohttp=False, requests=False, orm=True, localstore=True, htmlrender=False, onebot=False, permission=True
nonebot_plugin_analysis_bilibili-2.8.1-py3-none-any: py=4, meta=True, cmd=False, msg=True, regex=True, alconna=False, scheduler=False, httpx=False, aiohttp=True, requests=False, orm=True, localstore=False, htmlrender=False, onebot=True, permission=True
nonebot_plugin_anime_trace-0.2.3-py3-none-any: py=5, meta=True, cmd=False, msg=False, regex=False, alconna=False, scheduler=False, httpx=False, aiohttp=False, requests=False, orm=True, localstore=False, htmlrender=False, onebot=True, permission=False
nonebot_plugin_animeres-1.0.5-py3-none-any: py=9, meta=True, cmd=True, msg=False, regex=False, alconna=False, scheduler=False, httpx=True, aiohttp=False, requests=False, orm=True, localstore=False, htmlrender=False, onebot=True, permission=False
nonebot_plugin_anywhere_llm-1.1.6-py3-none-any: py=15, meta=True, cmd=True, msg=True, regex=False, alconna=False, scheduler=False, httpx=False, aiohttp=False, requests=False, orm=True, localstore=True, htmlrender=True, onebot=True, permission=False
nonebot_plugin_autopush-0.1.1-py3-none-any: py=5, meta=True, cmd=False, msg=False, regex=False, alconna=False, scheduler=True, httpx=True, aiohttp=False, requests=False, orm=True, localstore=False, htmlrender=False, onebot=False, permission=False
nonebot_plugin_badrawcard-0.2.3-py3-none-any: py=10, meta=True, cmd=True, msg=False, regex=False, alconna=False, scheduler=True, httpx=True, aiohttp=False, requests=False, orm=True, localstore=False, htmlrender=False, onebot=True, permission=True
nonebot_plugin_bili_fav_watcher-0.1.12-py3-none-any: py=6, meta=True, cmd=True, msg=False, regex=False, alconna=False, scheduler=True, httpx=False, aiohttp=False, requests=False, orm=False, localstore=True, htmlrender=False, onebot=True, permission=True
nonebot_plugin_bili_helper-0.9.3-py3-none-any: py=15, meta=True, cmd=False, msg=True, regex=True, alconna=False, scheduler=False, httpx=False, aiohttp=True, requests=False, orm=True, localstore=True, htmlrender=True, onebot=True, permission=True
nonebot_plugin_boardgame-0.4.1-py3-none-any: py=8, meta=True, cmd=True, msg=False, regex=False, alconna=True, scheduler=False, httpx=False, aiohttp=False, requests=False, orm=True, localstore=False, htmlrender=True, onebot=False, permission=False
nonebot_plugin_class_schedule-1.0.6-py3-none-any: py=9, meta=True, cmd=True, msg=False, regex=False, alconna=False, scheduler=True, httpx=False, aiohttp=False, requests=False, orm=True, localstore=True, htmlrender=True, onebot=True, permission=False
nonebot_plugin_clock-1.1.9.1-py3-none-any: py=11, meta=True, cmd=True, msg=True, regex=True, alconna=False, scheduler=True, httpx=False, aiohttp=False, requests=True, orm=True, localstore=True, htmlrender=False, onebot=True, permission=False
nonebot_plugin_reminder-0.4.3-py3-none-any: py=3, meta=True, cmd=False, msg=False, regex=True, alconna=False, scheduler=True, httpx=False, aiohttp=False, requests=False, orm=True, localstore=True, htmlrender=True, onebot=True, permission=True
